"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C12","2u2","","Capacitor_SMD:C_0805_2012Metric","2",""
"C2,C8","100n","","Capacitor_SMD:C_0805_2012Metric","2",""
"C3","4u7","","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","4n7","","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","47p","","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","33n","","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","22uF","","Capacitor_SMD:C_0805_2012Metric","1",""
"C9,C10","33u","","Capacitor_SMD:C_1206_3216Metric","2",""
"C11","22u","","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","D","~","Diode_SMD:D_SMA-SMB_Universal_Handsoldering","1",""
"J1","DeploymentInhibit","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","CurrentSense","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3,J6","Conn_01x06_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","2",""
"J4,J7","Conn_01x01_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","2",""
"J5","Deployer2","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"L1","15u","~","Inductor_SMD_Wurth_XHMI:L_Wurth_WE-XHMI-5050","1",""
"R1","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","100k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R3","100E","~","Capacitor_SMD:C_0805_2012Metric","1",""
"R4,R14","47k","-- mixed values --","Capacitor_SMD:C_0805_2012Metric","2",""
"R5","1M","~","Resistor_SMD:R_0805_2012Metric","1",""
"R6,R7,R11,R12,R13,R16","300k","~","-- mixed values --","6",""
"R8,R9","56k","~","-- mixed values --","2",""
"R10","6k8","~","Resistor_SMD:R_0805_2012Metric","1",""
"R15","15k","","Capacitor_SMD:C_0805_2012Metric","1",""
"TP1,TP2,TP3,TP4,TP5","TestPoint","~","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","5",""
"U1","ZXMP6A17GQTA","ZXMP6A17GQTA","PMOS_ZXMP6A17:SOT-223_DIO","1",""
"U2","SN74LVC1G17QDCKRQ1","","Package_TO_SOT_SMD:SOT-353_SC-70-5","1",""
"U3","TPS54260DGQ","https://www.ti.com/lit/ds/symlink/tps54260.pdf","Package_SO:HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm","1",""
"U4","TPS25200QDRVTQ1","TPS25200QDRVTQ1","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","1",""
